,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
119,2023-10-19,241.68774186816634,222.9558640131483,263.43978144766857,241.68774186816634,241.68774186816634,0.5498611290623379,0.5498611290623379,0.5498611290623379,0.5498611290623379,0.5498611290623379,0.5498611290623379,0.0,0.0,0.0,242.2376029972287
120,2023-10-20,241.47907104751474,222.66756397281605,261.05602504296684,241.47907104751474,241.47907104751474,0.03651386200794189,0.03651386200794189,0.03651386200794189,0.03651386200794189,0.03651386200794189,0.03651386200794189,0.0,0.0,0.0,241.5155849095227
121,2023-10-23,240.8530585895596,220.99033087762894,262.92923306498005,240.8530585895596,240.8530585895596,0.5435657732798618,0.5435657732798618,0.5435657732798618,0.5435657732798618,0.5435657732798618,0.5435657732798618,0.0,0.0,0.0,241.39662436283945
122,2023-10-24,240.64438777024125,221.98089673244118,262.9527750833314,240.64438777024125,240.64438777024125,2.4372843647891016,2.4372843647891016,2.4372843647891016,2.4372843647891016,2.4372843647891016,2.4372843647891016,0.0,0.0,0.0,243.08167213503035
123,2023-10-25,240.43571695092288,221.4213856892515,263.40528204843133,240.43571695092288,240.43571695092288,1.7368015040811828,1.7368015040811828,1.7368015040811828,1.7368015040811828,1.7368015040811828,1.7368015040811828,0.0,0.0,0.0,242.17251845500405
124,2023-10-26,240.22704613160448,219.41468169071265,259.9608035957477,240.22704613160448,240.22704613160448,0.5498611290622417,0.5498611290622417,0.5498611290622417,0.5498611290622417,0.5498611290622417,0.5498611290622417,0.0,0.0,0.0,240.77690726066672
125,2023-10-27,240.01837531228614,221.10803035680826,260.8334687822032,240.01837531228614,240.01837531228614,0.03651386200651348,0.03651386200651348,0.03651386200651348,0.03651386200651348,0.03651386200651348,0.03651386200651348,0.0,0.0,0.0,240.05488917429264
126,2023-10-30,239.39236285433103,218.84951595160805,258.84165841204145,239.39236285433103,239.39236285433103,0.5435657732828069,0.5435657732828069,0.5435657732828069,0.5435657732828069,0.5435657732828069,0.5435657732828069,0.0,0.0,0.0,239.93592862761383
127,2023-10-31,239.18369203501263,221.15330200375854,261.59422505619693,239.18369203501263,239.18369203501263,2.4372843647902287,2.4372843647902287,2.4372843647902287,2.4372843647902287,2.4372843647902287,2.4372843647902287,0.0,0.0,0.0,241.62097639980286
128,2023-11-01,238.97502121569423,221.09973846774065,260.6984341337574,238.97502121569423,238.97502121569423,1.7368015040812776,1.7368015040812776,1.7368015040812776,1.7368015040812776,1.7368015040812776,1.7368015040812776,0.0,0.0,0.0,240.7118227197755
129,2023-11-02,238.76642944853117,219.4533232474163,258.37116725603505,238.76642944853117,238.76642944853117,0.5498611290616224,0.5498611290616224,0.5498611290616224,0.5498611290616224,0.5498611290616224,0.5498611290616224,0.0,0.0,0.0,239.31629057759278
130,2023-11-03,238.55783768136817,217.16431273746323,258.97074093514493,238.55783768136817,238.55783768136817,0.03651386200508478,0.03651386200508478,0.03651386200508478,0.03651386200508478,0.03651386200508478,0.03651386200508478,0.0,0.0,0.0,238.59435154337325
131,2023-11-06,237.93206237987908,216.94305948400162,259.64787758027734,237.93206237987908,237.93206237987908,0.5435657732842496,0.5435657732842496,0.5435657732842496,0.5435657732842496,0.5435657732842496,0.5435657732842496,0.0,0.0,0.0,238.47562815316334
132,2023-11-07,237.72347061271603,218.75116437999142,259.8702453433507,237.72347061271603,237.72347061271603,2.4372843647900346,2.4372843647900346,2.4372843647900346,2.4372843647900346,2.4372843647900346,2.4372843647900346,0.0,0.0,0.0,240.16075497750606
133,2023-11-08,237.514878845553,219.0568098666978,258.0432473767657,237.514878845553,237.514878845553,1.7368015040796156,1.7368015040796156,1.7368015040796156,1.7368015040796156,1.7368015040796156,1.7368015040796156,0.0,0.0,0.0,239.2516803496326
134,2023-11-09,237.30628707838994,218.59871395398613,258.55812865966215,237.30628707838994,237.30628707838994,0.5498611290631683,0.5498611290631683,0.5498611290631683,0.5498611290631683,0.5498611290631683,0.5498611290631683,0.0,0.0,0.0,237.85614820745312
135,2023-11-10,237.09769531122694,216.31354351847,257.1928843501423,237.09769531122694,237.09769531122694,0.03651386200365668,0.03651386200365668,0.03651386200365668,0.03651386200365668,0.03651386200365668,0.03651386200365668,0.0,0.0,0.0,237.1342091732306
136,2023-11-13,236.4719200097379,216.10806329028256,258.8516247322957,236.4719200097379,236.4719200097379,0.543565773288697,0.543565773288697,0.543565773288697,0.543565773288697,0.543565773288697,0.543565773288697,0.0,0.0,0.0,237.01548578302658
137,2023-11-14,236.26332824026156,218.19046868091914,259.4796521238625,236.26332824026156,236.26332824026156,2.4372843647898406,2.4372843647898406,2.4372843647898406,2.4372843647898406,2.4372843647898406,2.4372843647898406,0.0,0.0,0.0,238.7006126050514
138,2023-11-15,236.0547364707852,217.41554075345488,258.2900671159141,236.0547364707852,236.0547364707852,1.736801504084248,1.736801504084248,1.736801504084248,1.736801504084248,1.736801504084248,1.736801504084248,0.0,0.0,0.0,237.79153797486944
139,2023-11-16,235.84614470130884,215.1740945216864,255.71973948261856,235.84614470130884,235.84614470130884,0.5498611290628106,0.5498611290628106,0.5498611290628106,0.5498611290628106,0.5498611290628106,0.5498611290628106,0.0,0.0,0.0,236.39600583037165
140,2023-11-17,235.63755293183252,215.67597511722383,256.76870191820103,235.63755293183252,235.63755293183252,0.03651386200263523,0.03651386200263523,0.03651386200263523,0.03651386200263523,0.03651386200263523,0.03651386200263523,0.0,0.0,0.0,235.67406679383515
141,2023-11-20,235.0117776234035,214.41878369363343,257.226153647576,235.0117776234035,235.0117776234035,0.5435657732758035,0.5435657732758035,0.5435657732758035,0.5435657732758035,0.5435657732758035,0.5435657732758035,0.0,0.0,0.0,235.55534339667932
142,2023-11-21,234.80318585392712,217.15616011123512,257.87907231767457,234.80318585392712,234.80318585392712,2.437284364789647,2.437284364789647,2.437284364789647,2.437284364789647,2.437284364789647,2.437284364789647,0.0,0.0,0.0,237.24047021871675
143,2023-11-22,234.5945940844508,216.343630827698,257.44638519954486,234.5945940844508,234.5945940844508,1.7368015040834643,1.7368015040834643,1.7368015040834643,1.7368015040834643,1.7368015040834643,1.7368015040834643,0.0,0.0,0.0,236.33139558853426
144,2023-11-24,234.17741054549813,215.33341763142937,254.65891064621906,234.17741054549813,234.17741054549813,0.03651386200079957,0.03651386200079957,0.03651386200079957,0.03651386200079957,0.03651386200079957,0.03651386200079957,0.0,0.0,0.0,234.21392440749892
145,2023-11-27,233.55163523485467,214.57052941089404,255.57874951675134,233.55163523485467,233.55163523485467,0.5435657732787486,0.5435657732787486,0.5435657732787486,0.5435657732787486,0.5435657732787486,0.5435657732787486,0.0,0.0,0.0,234.09520100813342
146,2023-11-28,233.3430434646402,214.25879508596725,256.2972359256683,233.3430434646402,233.3430434646402,2.4372843647907736,2.4372843647907736,2.4372843647907736,2.4372843647907736,2.4372843647907736,2.4372843647907736,0.0,0.0,0.0,235.78032782943097
147,2023-11-29,233.13445169442568,214.7541102596698,254.42572998860882,233.13445169442568,233.13445169442568,1.7368015040826814,1.7368015040826814,1.7368015040826814,1.7368015040826814,1.7368015040826814,1.7368015040826814,0.0,0.0,0.0,234.87125319850836
148,2023-11-30,232.92585992421118,213.22719693680608,253.87206505074187,232.92585992421118,232.92585992421118,0.5498611290626183,0.5498611290626183,0.5498611290626183,0.5498611290626183,0.5498611290626183,0.5498611290626183,0.0,0.0,0.0,233.4757210532738
149,2023-12-01,232.7172681539967,212.7831878811081,252.07246065068307,232.7172681539967,232.7172681539967,0.03651386200713486,0.03651386200713486,0.03651386200713486,0.03651386200713486,0.03651386200713486,0.03651386200713486,0.0,0.0,0.0,232.75378201600384
150,2023-12-04,232.09149284335325,212.571704779558,253.93321738305553,232.09149284335325,232.09149284335325,0.5435657732801913,0.5435657732801913,0.5435657732801913,0.5435657732801913,0.5435657732801913,0.5435657732801913,0.0,0.0,0.0,232.63505861663344
151,2023-12-05,231.88290107313875,213.32892198687586,253.47021786858264,231.88290107313875,231.88290107313875,2.4372843647892584,2.4372843647892584,2.4372843647892584,2.4372843647892584,2.4372843647892584,2.4372843647892584,0.0,0.0,0.0,234.32018543792802
152,2023-12-06,231.67430930292429,212.77024221831908,254.34005882483146,231.67430930292429,231.67430930292429,1.7368015040873133,1.7368015040873133,1.7368015040873133,1.7368015040873133,1.7368015040873133,1.7368015040873133,0.0,0.0,0.0,233.4111108070116
153,2023-12-07,231.46571747646544,210.86921978702682,254.06601132244262,231.46571747646544,231.46571747646544,0.5498611290619992,0.5498611290619992,0.5498611290619992,0.5498611290619992,0.5498611290619992,0.5498611290619992,0.0,0.0,0.0,232.01557860552745
154,2023-12-08,231.25712565000657,210.29505904287774,251.25876224363122,231.25712565000657,231.25712565000657,0.03651386200570671,0.03651386200570671,0.03651386200570671,0.03651386200570671,0.03651386200570671,0.03651386200570671,0.0,0.0,0.0,231.29363951201228
155,2023-12-11,230.63135017063001,210.27159121205256,252.85973137460593,230.63135017063001,230.63135017063001,0.5435657732816339,0.5435657732816339,0.5435657732816339,0.5435657732816339,0.5435657732816339,0.5435657732816339,0.0,0.0,0.0,231.17491594391166
156,2023-12-12,230.42275834417114,211.9697093491313,254.34901940298943,230.42275834417114,230.42275834417114,2.437284364789799,2.437284364789799,2.437284364789799,2.437284364789799,2.437284364789799,2.437284364789799,0.0,0.0,0.0,232.86004270896095
157,2023-12-13,230.2141665177123,210.70739173270948,251.5867756142842,230.2141665177123,230.2141665177123,1.73680150408653,1.73680150408653,1.73680150408653,1.73680150408653,1.73680150408653,1.73680150408653,0.0,0.0,0.0,231.95096802179884
158,2023-12-14,230.00557469125346,210.77020248909113,252.65981578007523,230.00557469125346,230.00557469125346,0.5498611290619029,0.5498611290619029,0.5498611290619029,0.5498611290619029,0.5498611290619029,0.5498611290619029,0.0,0.0,0.0,230.55543582031535
159,2023-12-15,229.7969828647946,211.09913960227587,250.0035078741124,229.7969828647946,229.7969828647946,0.036513862004685226,0.036513862004685226,0.036513862004685226,0.036513862004685226,0.036513862004685226,0.036513862004685226,0.0,0.0,0.0,229.83349672679927
160,2023-12-18,229.17120738541797,209.58038124585556,250.0241588604463,229.17120738541797,229.17120738541797,0.5435657732860816,0.5435657732860816,0.5435657732860816,0.5435657732860816,0.5435657732860816,0.5435657732860816,0.0,0.0,0.0,229.71477315870405
161,2023-12-19,228.76900473222935,210.43218210468424,252.24147405839344,228.76900473222935,228.76900473222935,2.437284364788283,2.437284364788283,2.437284364788283,2.437284364788283,2.437284364788283,2.437284364788283,0.0,0.0,0.0,231.20628909701765
162,2023-12-20,228.3668020790407,210.57401056086076,251.08738440412577,228.3668020790407,228.3668020790407,1.736801504084868,1.736801504084868,1.736801504084868,1.736801504084868,1.736801504084868,1.736801504084868,0.0,0.0,0.0,230.10360358312556
163,2023-12-21,227.96459942585207,205.8791781463715,247.57783703519692,227.96459942585207,227.96459942585207,0.5498611290615452,0.5498611290615452,0.5498611290615452,0.5498611290615452,0.5498611290615452,0.5498611290615452,0.0,0.0,0.0,228.51446055491363
164,2023-12-22,227.56239677266345,206.932606012696,246.90455190385345,227.56239677266345,227.56239677266345,0.03651386200366378,0.03651386200366378,0.03651386200366378,0.03651386200366378,0.03651386200366378,0.03651386200366378,0.0,0.0,0.0,227.5989106346671
165,2023-12-26,225.95358615990892,207.72615959730405,249.59741601134618,225.95358615990892,225.95358615990892,2.4372843647894094,2.4372843647894094,2.4372843647894094,2.4372843647894094,2.4372843647894094,2.4372843647894094,0.0,0.0,0.0,228.39087052469833
166,2023-12-27,225.5513835067203,208.1074964006497,247.83563509381275,225.5513835067203,225.5513835067203,1.736801504084085,1.736801504084085,1.736801504084085,1.736801504084085,1.736801504084085,1.736801504084085,0.0,0.0,0.0,227.2881850108044
167,2023-12-28,225.14918085353167,206.32514998368555,246.03588457328377,225.14918085353167,225.14918085353167,0.5498611290628297,0.5498611290628297,0.5498611290628297,0.5498611290628297,0.5498611290628297,0.5498611290628297,0.0,0.0,0.0,225.6990419825945
168,2023-12-29,224.74697820034316,203.6524139254969,244.9779002088612,224.74697820034316,224.74697820034316,0.036513862001828365,0.036513862001828365,0.036513862001828365,0.036513862001828365,0.036513862001828365,0.036513862001828365,0.0,0.0,0.0,224.783492062345
169,2024-01-02,222.42040881929384,205.24377153932934,243.5806613067472,222.42040881929384,222.42040881929384,2.437284364788628,2.437284364788628,2.437284364788628,2.437284364788628,2.437284364788628,2.437284364788628,0.0,0.0,0.0,224.85769318408248
170,2024-01-03,221.83876647403153,203.11479282925234,243.56852509227872,221.83876647403153,221.83876647403153,1.7368015040824232,1.7368015040824232,1.7368015040824232,1.7368015040824232,1.7368015040824232,1.7368015040824232,0.0,0.0,0.0,223.57556797811395
171,2024-01-04,221.2571241287692,201.8643803233831,241.46200162349712,221.2571241287692,221.2571241287692,0.5498611290624719,0.5498611290624719,0.5498611290624719,0.5498611290624719,0.5498611290624719,0.5498611290624719,0.0,0.0,0.0,221.80698525783166
172,2024-01-05,220.67548178350685,200.77125164890555,242.0940774862908,220.67548178350685,220.67548178350685,0.03651386200734932,0.03651386200734932,0.03651386200734932,0.03651386200734932,0.03651386200734932,0.03651386200734932,0.0,0.0,0.0,220.7119956455142
173,2024-01-08,218.93055474771987,200.93985404571097,239.79382059315063,218.93055474771987,218.93055474771987,0.5435657732790778,0.5435657732790778,0.5435657732790778,0.5435657732790778,0.5435657732790778,0.5435657732790778,0.0,0.0,0.0,219.47412052099895
174,2024-01-09,218.34891240245753,201.9088702327551,241.52766723803,218.34891240245753,218.34891240245753,2.437284364788434,2.437284364788434,2.437284364788434,2.437284364788434,2.437284364788434,2.437284364788434,0.0,0.0,0.0,220.78619676724597
175,2024-01-10,217.7672700571952,200.60471878578122,241.69040911732534,217.7672700571952,217.7672700571952,1.736801504082518,1.736801504082518,1.736801504082518,1.736801504082518,1.736801504082518,1.736801504082518,0.0,0.0,0.0,219.5040715612777
176,2024-01-11,217.18562771193277,197.97611990346903,236.6982904668402,217.18562771193277,217.18562771193277,0.5498611290623758,0.5498611290623758,0.5498611290623758,0.5498611290623758,0.5498611290623758,0.5498611290623758,0.0,0.0,0.0,217.73548884099515
177,2024-01-12,216.60398533501265,196.07925020798308,237.58478915794802,216.60398533501265,216.60398533501265,0.036513862006327835,0.036513862006327835,0.036513862006327835,0.036513862006327835,0.036513862006327835,0.036513862006327835,0.0,0.0,0.0,216.64049919701898
178,2024-01-16,214.27741582733208,196.0335716238771,235.9697245664852,214.27741582733208,214.27741582733208,2.43728436478824,2.43728436478824,2.43728436478824,2.43728436478824,2.43728436478824,2.43728436478824,0.0,0.0,0.0,216.71470019212032
179,2024-01-17,213.6957734504119,193.44103069276485,234.87080152608524,213.6957734504119,213.6957734504119,1.7368015040808562,1.7368015040808562,1.7368015040808562,1.7368015040808562,1.7368015040808562,1.7368015040808562,0.0,0.0,0.0,215.43257495449276
